T,RHOLIQ,RHOVAP,PLIQ,PVAP,ELIQ,EVAP,SLIQ,SVAP,GLIQ,GVAP,PSILIQ,PSIVAP,NTY\,,,,,,,,,,,,
K,kg/m**3,kg/m**3,GPa,GPa,J/kg,J/kg,J/kg-K,J/kg-K,J/kg,J/kg\,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
6.99655,3,4.15336,2,4.15336,2,1.88012,-1,1.88012,-1,2.04653,7,2.04653,7,5.93009,3,5.93009,3,-2.05699,7,-2.05699,7,3.68857,1,3.68857,1
6.91669,3,6.99205,2,2.15934,2,1.59873,-1,1.59873,-1,1.67108,7,2.34917,7,5.36607,3,6.42047,3,-2.01738,7,-2.01738,7,1.62785,1,1.01832,2
6.83683,3,8.43705,2,1.55857,2,1.35295,-1,1.35295,-1,1.49923,7,2.45419,7,5.11094,3,6.61132,3,-1.97879,7,-1.97879,7,1.20426,1,1.68832,2
6.75697,3,9.65848,2,1.1801,2,1.13956,-1,1.13956,-1,1.36463,7,2.52766,7,4.91017,3,6.75695,3,-1.94117,7,-1.94117,7,9.65578,0,2.59968,2
6.67712,3,1.07663,3,9.1336,1,9.55379,-2,9.55379,-2,1.25144,7,2.58513,7,4.74001,3,6.88091,3,-1.90446,7,-1.90446,7,8.05946,0,3.87059,2
6.59726,3,1.18032,3,7.15502,1,7.97301,-2,7.97301,-2,1.15341,7,2.63253,7,4.59125,3,6.99207,3,-1.86862,7,-1.86862,7,6.89585,0,5.65832,2
6.5174,3,1.27913,3,5.64504,1,6.62373,-2,6.6237,-2,1.06723,7,2.67279,7,4.45909,3,7.09484,3,-1.83359,7,-1.83359,7,6.00118,0,8.18494,2
6.43754,3,1.37446,3,4.47249,1,5.47809,-2,5.47808,-2,9.90795,6,2.70763,7,4.34059,3,7.19175,3,-1.79933,7,-1.79933,7,5.28734,0,1.17689,3
6.35768,3,1.46732,3,3.5518,1,4.51042,-2,4.51042,-2,9.22646,6,2.73812,7,4.23372,3,7.28437,3,-1.76579,7,-1.76579,7,4.70178,0,1.68703,3
6.27782,3,1.55852,3,2.82362,1,3.69719,-2,3.69718,-2,8.61663,6,2.76499,7,4.13694,3,7.37374,3,-1.73291,7,-1.73291,7,4.21083,0,2.4158,3
6.19796,3,1.64883,3,2.24501,1,3.0171,-2,3.0171,-2,8.06944,6,2.78872,7,4.04903,3,7.46057,3,-1.70065,7,-1.70065,7,3.79167,0,3.46095,3
6.1181,3,1.73901,3,1.78391,1,2.45111,-2,2.45111,-2,7.57735,6,2.80968,7,3.96898,3,7.54537,3,-1.66898,7,-1.66898,7,3.42823,0,4.96621,3
6.03824,3,1.82987,3,1.41588,1,1.98232,-2,1.98232,-2,7.13382,6,2.82815,7,3.89591,3,7.62849,3,-1.63784,7,-1.63784,7,3.1088,0,7.14413,3
