T	RHOLIQ	RHOVAP	PLIQ	PVAP	ELIQ	EVAP	SLIQ	SVAP	GLIQ	GVAP	PSILIQ	PSIVAP	NTY\												
K	kg/m**3	kg/m**3	GPa	GPa	J/kg	J/kg	J/kg-K	J/kg-K	J/kg	J/kg\															
																									
8.80701	3	1.68058	3	1.68058	3	2.54739	0	2.54739	0	1.3086	7	1.3086	7	5.40216	3	5.40216	3	-3.29724	7	-3.29724	7	8.26214	-1	8.26214	-1
8.69641	3	1.81366	3	1.3491	3	2.38524	0	2.37845	0	1.25104	7	1.41424	7	5.32437	3	5.56397	3	-3.24746	7	-3.24784	7	4.84266	-1	8.14974	-1
8.58581	3	1.96991	3	1.26175	3	2.23299	0	2.23299	0	1.18849	7	1.4342	7	5.24056	3	5.60087	3	-3.19735	7	-3.19735	7	4.16632	-1	9.11103	-1
8.47521	3	2.05747	3	1.18303	3	2.09188	0	2.09188	0	1.14902	7	1.45156	7	5.18904	3	5.63471	3	-3.14687	7	-3.14687	7	3.83711	-1	1.01408	0
8.36461	3	2.12213	3	1.11046	3	1.95502	0	1.95502	0	1.11715	7	1.46715	7	5.14781	3	5.66661	3	-3.09642	7	-3.09642	7	3.61105	-1	1.12641	0
8.25401	3	2.17589	3	1.04255	3	1.82245	0	1.82245	0	1.08892	7	1.48143	7	5.11137	3	5.69725	3	-3.046	7	-3.046	7	3.43279	-1	1.25056	0
8.14341	3	2.22286	3	9.78368	2	1.69427	0	1.69427	0	1.06299	7	1.49474	7	5.07781	3	5.72709	3	-2.99562	7	-2.99562	7	3.28342	-1	1.38924	0
8.03281	3	2.26509	3	9.1723	2	1.57061	0	1.57061	0	1.03868	7	1.5073	7	5.0462	3	5.75648	3	-2.94527	7	-2.94527	7	3.15377	-1	1.54561	0
7.92221	3	2.30375	3	8.58671	2	1.45156	0	1.45156	0	1.0156	7	1.51929	7	5.016	3	5.78569	3	-2.89495	7	-2.89495	7	3.03857	-1	1.72347	0
7.81161	3	2.3396	3	8.02359	2	1.33723	0	1.33723	0	9.93496	6	1.53082	7	4.98686	3	5.81494	3	-2.84466	7	-2.84466	7	2.93445	-1	1.92742	0
7.70101	3	2.37317	3	7.48063	2	1.22772	0	1.22772	0	9.722	6	1.54199	7	4.95852	3	5.8444	3	-2.79441	7	-2.79441	7	2.83915	-1	2.16318	0
7.59041	3	2.40484	3	6.95625	2	1.12311	0	1.12311	0	9.51586	6	1.55286	7	4.93082	3	5.87421	3	-2.74419	7	-2.74419	7	2.75102	-1	2.43782	0
7.47981	3	2.43489	3	6.44947	2	1.02349	0	1.02349	0	9.31558	6	1.5635	7	4.90361	3	5.9045	3	-2.694	7	-2.694	7	2.66886	-1	2.76025	0
7.36921	3	2.46353	3	5.95975	2	9.28933	-1	9.28933	-1	9.12043	6	1.57393	7	4.8768	3	5.93539	3	-2.64386	7	-2.64386	7	2.59175	-1	3.14182	0
