T,RHOLIQ,RHOVAP,PLIQ,PVAP,ELIQ,EVAP,SLIQ,SVAP,GLIQ,GVAP,PSILIQ,PSIVAP,NTY\,,,,,,,,,,,,
K,kg/m**3,kg/m**3,GPa,GPa,J/kg,J/kg,J/kg-K,J/kg-K,J/kg,J/kg\,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
6.4872,3,5.33792,2,5.33792,2,2.42898,-1,2.42898,-1,1.92063,7,1.92063,7,6.79086,3,6.79086,3,-2.43897,7,-2.43897,7,1.27908,-1,1.27908,-1
6.41513,3,8.38103,2,2.94985,2,2.1638,-1,2.1638,-1,1.69914,7,2.1094,7,6.42354,3,7.1372,3,-2.39559,7,-2.39559,7,7.98956,-2,1.49202,-1
6.34306,3,9.86982,2,2.29016,2,1.93689,-1,1.93689,-1,1.59755,7,2.16247,7,6.25861,3,7.25167,3,-2.35247,7,-2.35247,7,6.79854,-2,1.61076,-1
6.27099,3,1.10184,3,1.85461,2,1.7324,-1,1.7324,-1,1.52135,7,2.19709,7,6.13479,3,7.33632,3,-2.30983,7,-2.30983,7,6.01995,-2,1.69252,-1
6.19892,3,1.19858,3,1.53648,2,1.54809,-1,1.54809,-1,1.4584,7,2.2216,7,6.03197,3,7.40493,3,-2.26764,7,-2.26764,7,5.44366,-2,1.75304,-1
6.12685,3,1.28318,3,1.29136,2,1.38196,-1,1.38196,-1,1.40414,7,2.23955,7,5.94267,3,7.46337,3,-2.22586,7,-2.22586,7,4.99114,-2,1.79943,-1
6.05478,3,1.35879,3,1.0961,2,1.23222,-1,1.23222,-1,1.35616,7,2.25283,7,5.863,3,7.51473,3,-2.18449,7,-2.18449,7,4.62249,-2,1.83564,-1
5.98271,3,1.42735,3,9.36959,1,1.09729,-1,1.09729,-1,1.31298,7,2.26261,7,5.79062,3,7.56091,3,-2.14349,7,-2.14349,7,4.31424,-2,1.86415,-1
5.91064,3,1.49017,3,8.05091,1,9.75747,-2,9.75747,-2,1.27362,7,2.26963,7,5.72395,3,7.60313,3,-2.10286,7,-2.10286,7,4.05136,-2,1.88667,-1
5.83857,3,1.5482,3,6.94447,1,8.66315,-2,8.66315,-2,1.23739,7,2.27442,7,5.66191,3,7.64228,3,-2.06257,7,-2.06257,7,3.82362,-2,1.90442,-1
5.7665,3,1.60215,3,6.00705,1,7.67856,-2,7.67856,-2,1.20376,7,2.27738,7,5.60367,3,7.67898,3,-2.02262,7,-2.02262,7,3.62375,-2,1.9183,-1
5.69443,3,1.65258,3,5.20673,1,6.79344,-2,6.79344,-2,1.17233,7,2.2788,7,5.54861,3,7.71371,3,-1.98299,7,-1.98299,7,3.44642,-2,1.929,-1
5.62236,3,1.69993,3,4.51928,1,5.99852,-2,5.99852,-2,1.1428,7,2.2789,7,5.49625,3,7.74687,3,-1.94368,7,-1.94368,7,3.28761,-2,1.93708,-1
