T	RHOLIQ	RHOVAP	PLIQ	PVAP	ELIQ	EVAP	SLIQ	SVAP	GLIQ	GVAP	PSILIQ	PSIVAP	NTY\												
K	kg/m**3	kg/m**3	GPa	GPa	J/kg	J/kg	J/kg-K	J/kg-K	J/kg	J/kg\															
																									
5.46519	3	8.41002	2	8.41002	2	2.22782	-1	2.22782	-1	1.25923	7	1.25923	7	5.56757	3	5.56757	3	-1.75689	7	-1.75689	7	1.92714	0	1.92714	0
5.41015	3	1.17248	3	5.21621	2	1.91604	-1	1.91604	-1	1.1156	7	1.39522	7	5.29071	3	5.84526	3	-1.73025	7	-1.73025	7	5.27081	-1	3.29635	0
5.35512	3	1.31314	3	4.03893	2	1.64588	-1	1.64588	-1	1.05424	7	1.44574	7	5.17372	3	5.95753	3	-1.70365	7	-1.70365	7	3.95289	-1	5.52096	0
5.30008	3	1.41988	3	3.20293	2	1.41041	-1	1.41041	-1	1.00768	7	1.48291	7	5.08471	3	6.04576	3	-1.67716	7	-1.67716	7	3.22332	-1	8.6485	0
5.24504	3	1.50882	3	2.56355	2	1.20653	-1	1.20653	-1	9.68952	6	1.51292	7	5.01024	3	6.1219	3	-1.65079	7	-1.65079	7	2.74121	-1	1.31242	1
5.19001	3	1.58608	3	2.06177	2	1.03093	-1	1.03093	-1	9.35364	6	1.53815	7	4.94518	3	6.19052	3	-1.62454	7	-1.62454	7	2.39356	-1	1.95218	1
5.13497	3	1.65484	3	1.66433	2	8.80271	-2	8.80271	-2	9.05524	6	1.55981	7	4.88691	3	6.25381	3	-1.59843	7	-1.59843	7	2.12903	-1	2.85917	1
5.07994	3	1.71697	3	1.34842	2	7.51281	-2	7.51281	-2	8.78585	6	1.5786	7	4.83383	3	6.31298	3	-1.57245	7	-1.57245	7	1.92011	-1	4.13106	1
5.0249	3	1.77374	3	1.0967	2	6.40944	-2	6.40944	-2	8.53982	6	1.59501	7	4.78488	3	6.36881	3	-1.54662	7	-1.54662	7	1.75051	-1	5.895	1
4.96986	3	1.82604	3	8.95471	1	5.46563	-2	5.46563	-2	8.31308	6	1.60941	7	4.73933	3	6.42186	3	-1.52094	7	-1.52094	7	1.60982	-1	8.31738	1
4.91483	3	1.87454	3	7.33919	1	4.65787	-2	4.65787	-2	8.1026	6	1.6221	7	4.6966	3	6.47259	3	-1.49542	7	-1.49542	7	1.49104	-1	1.16177	2
4.85979	3	1.91975	3	6.03558	1	3.96609	-2	3.96609	-2	7.90601	6	1.63331	7	4.65627	3	6.52139	3	-1.47005	7	-1.47005	7	1.38931	-1	1.60874	2
4.80475	3	1.96209	3	4.97794	1	3.37328	-2	3.37328	-2	7.72143	6	1.64327	7	4.61799	3	6.56861	3	-1.44484	7	-1.44484	7	1.30109	-1	2.21162	2
