T	RLIQ	RSOLI	PLIQ	PSOLI	ELIQ	ESOLI	SLIQ	SOLI	GLIQ	GSOLI	#ITER						
K	kg/m**3	kg/m**3	GPa	GPa	J/kg	J/kg	J/kg-K	J/kg-K	J/kg	J/kg							
																	
1.5525	3	1.9991	3	2.5367	3	-8.406	0	-8.406	0	4.4905	6	2.4701	6	3.4536	3	2.7262	3
1.756	3	2.3282	3	2.632	3	-6.5044	0	-6.5044	0	3.9277	6	2.6081	6	3.4424	3	2.8745	3
1.9595	3	2.5355	3	2.7577	3	-3.7357	0	-3.7357	0	3.8403	6	2.7346	6	3.4947	3	2.991	3
2.163	3	2.726	3	2.9	3	5.6794	-10	5.6794	-10	3.9	6	2.9	6	3.5507	3	3.0883	3
2.2067	3	2.7662	3	2.9321	3	9.4473	-1	9.4473	-1	3.9285	6	2.9435	6	3.5625	3	3.1074	3
2.2513	3	2.8071	3	2.9651	3	1.9666	0	1.9666	0	3.9629	6	2.9914	6	3.5746	3	3.1264	3
2.2968	3	2.849	3	2.9992	3	3.0741	0	3.0741	0	4.0037	6	3.0441	6	3.5867	3	3.1454	3
2.3432	3	2.892	3	3.0344	3	4.2779	0	4.2779	0	4.0512	6	3.1018	6	3.5989	3	3.1641	3
2.3905	3	2.9361	3	3.0709	3	5.5902	0	5.5902	0	4.1059	6	3.165	6	3.6112	3	3.1827	3
2.4388	3	2.981	3	3.1088	3	7.0222	0	7.0222	0	4.1684	6	3.2343	6	3.6238	3	3.201	3
2.4881	3	3.0268	3	3.149	3	8.5812	0	8.5812	0	4.2392	6	3.3102	6	3.6365	3	3.2189	3
2.5383	3	3.0728	3	3.1917	3	1.0259	1	1.0259	1	4.3186	6	3.3936	6	3.6496	3	3.2361	3
2.5896	3	3.1185	3	3.2362	3	1.2036	1	1.2036	1	4.4066	6	3.4852	6	3.6631	3	3.2531	3
2.6419	3	3.1651	3	3.282	3	1.39	1	1.39	1	4.5036	6	3.5852	6	3.6768	3	3.27	3
2.6953	3	3.2131	3	3.3291	3	1.5858	1	1.5858	1	4.6102	6	3.694	6	3.6905	3	3.2867	3
2.7497	3	3.2627	3	3.3775	3	1.7918	1	1.7918	1	4.7268	6	3.8119	6	3.704	3	3.3034	3
2.8053	3	3.3139	3	3.4273	3	2.0091	1	2.0091	1	4.854	6	3.9395	6	3.7174	3	3.3198	3
2.862	3	3.3668	3	3.4786	3	2.239	1	2.239	1	4.9922	6	4.077	6	3.7306	3	3.3362	3
2.9198	3	3.4214	3	3.5314	3	2.4826	1	2.4826	1	5.1419	6	4.2251	6	3.7438	3	3.3523	3
2.9788	3	3.4777	3	3.5858	3	2.7413	1	2.7413	1	5.3037	6	4.3844	6	3.7567	3	3.3683	3
3.0389	3	3.5358	3	3.6419	3	3.0168	1	3.0168	1	5.4783	6	4.5553	6	3.7695	3	3.384	3
