Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  5.000000e+02,   3.227000e+00,   1.000000e-04,   6.090885e-01,   1.264638e-03,   0.000000e+00,   5.727256e-04
  5.500000e+02,   3.483445e+00,   8.471603e+00,   7.062033e-01,   1.326718e-03,   4.396163e-01,   5.971560e+00
  6.000000e+02,   3.648157e+00,   1.624998e+01,   9.001739e-01,   1.386837e-03,   7.624493e-01,   6.604503e+00
  6.500000e+02,   3.789914e+00,   2.297805e+01,   1.138071e+00,   1.446913e-03,   1.028401e+00,   6.923883e+00
  7.000000e+02,   3.908127e+00,   2.870361e+01,   1.384564e+00,   1.506832e-03,   1.245082e+00,   7.143947e+00
  7.500000e+02,   4.007417e+00,   3.364202e+01,   1.624546e+00,   1.565588e-03,   1.424859e+00,   7.316610e+00
  8.000000e+02,   4.092349e+00,   3.798722e+01,   1.853726e+00,   1.622470e-03,   1.577713e+00,   7.461214e+00
  8.500000e+02,   4.165886e+00,   4.186211e+01,   2.071173e+00,   1.677235e-03,   1.709871e+00,   7.586786e+00
  9.000000e+02,   4.230975e+00,   4.538639e+01,   2.278021e+00,   1.729635e-03,   1.826855e+00,   7.698775e+00
  9.500000e+02,   4.289391e+00,   4.863191e+01,   2.475393e+00,   1.779671e-03,   1.931991e+00,   7.800391e+00
  1.000000e+03,   4.341967e+00,   5.163253e+01,   2.663718e+00,   1.827505e-03,   2.026980e+00,   7.893581e+00
  1.050000e+03,   4.390345e+00,   5.445426e+01,   2.844859e+00,   1.873094e-03,   2.114565e+00,   7.980150e+00
  1.100000e+03,   4.434637e+00,   5.710176e+01,   3.018729e+00,   1.916682e-03,   2.195149e+00,   8.060939e+00
  1.150000e+03,   4.475856e+00,   5.961585e+01,   3.186691e+00,   1.958296e-03,   2.270383e+00,   8.136973e+00
  1.200000e+03,   4.933785e+00,   7.397446e+01,   4.574695e+00,   1.937043e-03,   2.816051e+00,   8.140326e+00
  1.250000e+03,   4.943801e+00,   7.523412e+01,   4.657435e+00,   1.979744e-03,   2.845359e+00,   8.193665e+00
  1.300000e+03,   4.953519e+00,   7.647586e+01,   4.739351e+00,   2.020440e-03,   2.874029e+00,   8.245816e+00
  1.350000e+03,   4.962875e+00,   7.769750e+01,   4.820398e+00,   2.059293e-03,   2.901993e+00,   8.296812e+00
  1.400000e+03,   4.972139e+00,   7.890804e+01,   4.900761e+00,   2.096400e-03,   2.929573e+00,   8.346751e+00
  1.450000e+03,   4.981314e+00,   8.010751e+01,   4.980440e+00,   2.131883e-03,   2.956777e+00,   8.395667e+00
  1.500000e+03,   4.990038e+00,   8.128375e+01,   5.059199e+00,   2.165908e-03,   2.983191e+00,   8.443513e+00
  1.550000e+03,   4.998622e+00,   8.244729e+01,   5.137243e+00,   2.198528e-03,   3.009185e+00,   8.490398e+00
  1.600000e+03,   5.007122e+00,   8.360008e+01,   5.214612e+00,   2.229825e-03,   3.034830e+00,   8.536361e+00
  1.650000e+03,   5.015538e+00,   8.474215e+01,   5.291308e+00,   2.259882e-03,   3.060133e+00,   8.581430e+00
  1.700000e+03,   5.023504e+00,   8.586074e+01,   5.367094e+00,   2.288828e-03,   3.084667e+00,   8.625551e+00
  1.750000e+03,   5.031391e+00,   8.696890e+01,   5.442214e+00,   2.316678e-03,   3.108877e+00,   8.668839e+00
  1.800000e+03,   5.039200e+00,   8.806669e+01,   5.516672e+00,   2.343493e-03,   3.132769e+00,   8.711317e+00
  1.850000e+03,   5.046932e+00,   8.915418e+01,   5.590471e+00,   2.369333e-03,   3.156349e+00,   8.753007e+00
  1.900000e+03,   5.054330e+00,   9.022216e+01,   5.663449e+00,   2.394287e-03,   3.179315e+00,   8.793874e+00
  1.950000e+03,   5.061586e+00,   9.127765e+01,   5.735734e+00,   2.418377e-03,   3.201903e+00,   8.833988e+00
  2.000000e+03,   5.068770e+00,   9.232319e+01,   5.807372e+00,   2.441639e-03,   3.224201e+00,   8.873384e+00
  2.050000e+03,   5.075883e+00,   9.335885e+01,   5.878369e+00,   2.464116e-03,   3.246212e+00,   8.912081e+00
  2.100000e+03,   5.082868e+00,   9.438262e+01,   5.948692e+00,   2.485855e-03,   3.267875e+00,   8.950085e+00
  2.150000e+03,   5.089554e+00,   9.538812e+01,   6.018235e+00,   2.506914e-03,   3.288986e+00,   8.987376e+00
  2.200000e+03,   5.096172e+00,   9.638410e+01,   6.087152e+00,   2.527298e-03,   3.309829e+00,   9.024027e+00
  2.250000e+03,   5.102725e+00,   9.737064e+01,   6.155446e+00,   2.547037e-03,   3.330411e+00,   9.060055e+00
  2.300000e+03,   5.109212e+00,   9.834784e+01,   6.223122e+00,   2.566163e-03,   3.350735e+00,   9.095475e+00
  2.350000e+03,   5.115592e+00,   9.931415e+01,   6.290160e+00,   2.584708e-03,   3.370753e+00,   9.130293e+00
