Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  5.000000e+02,   3.227000e+00,   1.000000e-04,   4.112881e-01,   1.681236e-03,   0.000000e+00,   6.088922e-04
  5.500000e+02,   3.487494e+00,   8.078925e+00,   5.051735e-01,   1.740983e-03,   4.324313e-01,   5.789381e+00
  6.000000e+02,   3.651028e+00,   1.541137e+01,   6.889827e-01,   1.799808e-03,   7.447479e-01,   6.412540e+00
  6.500000e+02,   3.788164e+00,   2.169782e+01,   9.095373e-01,   1.859414e-03,   9.980177e-01,   6.737162e+00
  7.000000e+02,   3.901301e+00,   2.705520e+01,   1.136101e+00,   1.919055e-03,   1.203781e+00,   6.964708e+00
  7.500000e+02,   3.996239e+00,   3.170996e+01,   1.357188e+00,   1.977638e-03,   1.375316e+00,   7.144845e+00
  8.000000e+02,   4.077408e+00,   3.583156e+01,   1.569541e+00,   2.034580e-03,   1.521789e+00,   7.296443e+00
  8.500000e+02,   4.148518e+00,   3.956115e+01,   1.773151e+00,   2.089491e-03,   1.650212e+00,   7.428978e+00
  9.000000e+02,   4.211678e+00,   4.297910e+01,   1.968511e+00,   2.142320e-03,   1.764608e+00,   7.547605e+00
  9.500000e+02,   4.268635e+00,   4.615205e+01,   2.156564e+00,   2.193053e-03,   1.868137e+00,   7.655655e+00
  1.000000e+03,   4.320720e+00,   4.913111e+01,   2.338333e+00,   2.241726e-03,   1.963150e+00,   7.755385e+00
  1.050000e+03,   4.368345e+00,   5.193187e+01,   2.513944e+00,   2.288527e-03,   2.050534e+00,   7.848147e+00
  1.100000e+03,   4.412687e+00,   5.459993e+01,   2.684696e+00,   2.333458e-03,   2.132208e+00,   7.935288e+00
  1.150000e+03,   4.454178e+00,   5.715202e+01,   2.851034e+00,   2.376645e-03,   2.208950e+00,   8.017628e+00
  1.200000e+03,   4.492874e+00,   5.959016e+01,   3.012895e+00,   2.418260e-03,   2.280975e+00,   8.095698e+00
  1.250000e+03,   4.934429e+00,   7.325847e+01,   4.339486e+00,   2.400899e-03,   2.802735e+00,   8.099837e+00
  1.300000e+03,   4.944873e+00,   7.456288e+01,   4.425107e+00,   2.443429e-03,   2.833215e+00,   8.155368e+00
  1.350000e+03,   4.955024e+00,   7.585656e+01,   4.510502e+00,   2.484343e-03,   2.863181e+00,   8.210031e+00
  1.400000e+03,   4.964936e+00,   7.714129e+01,   4.595700e+00,   2.523752e-03,   2.892703e+00,   8.263872e+00
  1.450000e+03,   4.974831e+00,   7.842417e+01,   4.680835e+00,   2.561727e-03,   2.922037e+00,   8.316961e+00
  1.500000e+03,   4.984608e+00,   7.970184e+01,   4.765844e+00,   2.598379e-03,   2.951073e+00,   8.369296e+00
  1.550000e+03,   4.994016e+00,   8.096595e+01,   4.850577e+00,   2.633835e-03,   2.979523e+00,   8.420855e+00
  1.600000e+03,   5.003407e+00,   8.222820e+01,   4.935240e+00,   2.668118e-03,   3.007800e+00,   8.471734e+00
  1.650000e+03,   5.012781e+00,   8.348858e+01,   5.019833e+00,   2.701300e-03,   3.035907e+00,   8.521952e+00
  1.700000e+03,   5.021847e+00,   8.473712e+01,   5.104188e+00,   2.733492e-03,   3.063509e+00,   8.571466e+00
  1.750000e+03,   5.030777e+00,   8.597968e+01,   5.188402e+00,   2.764725e-03,   3.090808e+00,   8.620338e+00
  1.800000e+03,   5.039690e+00,   8.722042e+01,   5.272544e+00,   2.795038e-03,   3.117950e+00,   8.668611e+00
  1.850000e+03,   5.048585e+00,   8.845927e+01,   5.356613e+00,   2.824479e-03,   3.144936e+00,   8.716299e+00
  1.900000e+03,   5.057089e+00,   8.968309e+01,   5.440402e+00,   2.853153e-03,   3.171330e+00,   8.763341e+00
  1.950000e+03,   5.065579e+00,   9.090516e+01,   5.524119e+00,   2.881044e-03,   3.197578e+00,   8.809839e+00
  2.000000e+03,   5.074054e+00,   9.212549e+01,   5.607765e+00,   2.908194e-03,   3.223684e+00,   8.855803e+00
  2.050000e+03,   5.082474e+00,   9.334264e+01,   5.691319e+00,   2.934643e-03,   3.249602e+00,   8.901239e+00
  2.100000e+03,   5.090574e+00,   9.454697e+01,   5.774638e+00,   2.960468e-03,   3.275021e+00,   8.946109e+00
  2.150000e+03,   5.098660e+00,   9.574965e+01,   5.857888e+00,   2.985652e-03,   3.300307e+00,   8.990491e+00
  2.200000e+03,   5.106732e+00,   9.695068e+01,   5.941069e+00,   3.010226e-03,   3.325463e+00,   9.034399e+00
  2.250000e+03,   5.114782e+00,   9.814974e+01,   6.024178e+00,   3.034218e-03,   3.350481e+00,   9.077840e+00
  2.300000e+03,   5.122510e+00,   9.933567e+01,   6.107059e+00,   3.057700e-03,   3.375006e+00,   9.120766e+00
  2.350000e+03,   5.130225e+00,   1.005201e+02,   6.189876e+00,   3.080650e-03,   3.399410e+00,   9.163256e+00
  2.400000e+03,   5.137928e+00,   1.017029e+02,   6.272629e+00,   3.103089e-03,   3.423696e+00,   9.205321e+00
  2.450000e+03,   5.145618e+00,   1.028843e+02,   6.355319e+00,   3.125040e-03,   3.447866e+00,   9.246969e+00
  2.500000e+03,   5.153078e+00,   1.040558e+02,   6.437837e+00,   3.146554e-03,   3.471659e+00,   9.288164e+00
  2.550000e+03,   5.160452e+00,   1.052230e+02,   6.520258e+00,   3.167630e-03,   3.495252e+00,   9.328952e+00
  2.600000e+03,   5.167815e+00,   1.063889e+02,   6.602622e+00,   3.188274e-03,   3.518739e+00,   9.369357e+00
  2.650000e+03,   5.175167e+00,   1.075533e+02,   6.684929e+00,   3.208502e-03,   3.542119e+00,   9.409387e+00
  2.700000e+03,   5.182438e+00,   1.087137e+02,   6.767146e+00,   3.228342e-03,   3.565310e+00,   9.449035e+00
  2.750000e+03,   5.189498e+00,   1.098648e+02,   6.849213e+00,   3.247827e-03,   3.588158e+00,   9.488285e+00
  2.800000e+03,   5.196548e+00,   1.110148e+02,   6.931229e+00,   3.266942e-03,   3.610909e+00,   9.527190e+00
  2.850000e+03,   5.203589e+00,   1.121635e+02,   7.013197e+00,   3.285701e-03,   3.633563e+00,   9.565756e+00
  2.900000e+03,   5.210621e+00,   1.133110e+02,   7.095118e+00,   3.304115e-03,   3.656124e+00,   9.603991e+00
  2.950000e+03,   5.217498e+00,   1.144515e+02,   7.176925e+00,   3.322220e-03,   3.678416e+00,   9.641871e+00
  3.000000e+03,   5.224261e+00,   1.155866e+02,   7.258638e+00,   3.340019e-03,   3.700488e+00,   9.679414e+00
  3.050000e+03,   5.231016e+00,   1.167206e+02,   7.340311e+00,   3.357510e-03,   3.722474e+00,   9.716651e+00
  3.100000e+03,   5.237762e+00,   1.178537e+02,   7.421946e+00,   3.374702e-03,   3.744375e+00,   9.753588e+00
  3.150000e+03,   5.244500e+00,   1.189857e+02,   7.503544e+00,   3.391605e-03,   3.766192e+00,   9.790231e+00
  3.200000e+03,   5.251071e+00,   1.201100e+02,   7.585033e+00,   3.408252e-03,   3.787729e+00,   9.826551e+00
  3.250000e+03,   5.257561e+00,   1.212305e+02,   7.666456e+00,   3.424640e-03,   3.809098e+00,   9.862577e+00
  3.300000e+03,   5.264044e+00,   1.223500e+02,   7.747850e+00,   3.440766e-03,   3.830389e+00,   9.898330e+00
  3.350000e+03,   5.270521e+00,   1.234688e+02,   7.829217e+00,   3.456638e-03,   3.851604e+00,   9.933816e+00
  3.400000e+03,   5.276992e+00,   1.245867e+02,   7.910558e+00,   3.472266e-03,   3.872746e+00,   9.969039e+00
  3.450000e+03,   5.283327e+00,   1.256984e+02,   7.991824e+00,   3.487674e-03,   3.893655e+00,   1.000398e+01
  3.500000e+03,   5.289568e+00,   1.268055e+02,   8.073022e+00,   3.502864e-03,   3.914384e+00,   1.003865e+01
  3.550000e+03,   5.295803e+00,   1.279119e+02,   8.154202e+00,   3.517830e-03,   3.935043e+00,   1.007308e+01
  3.600000e+03,   5.302033e+00,   1.290177e+02,   8.235366e+00,   3.532580e-03,   3.955636e+00,   1.010727e+01
  3.650000e+03,   5.308258e+00,   1.301229e+02,   8.316516e+00,   3.547118e-03,   3.976162e+00,   1.014122e+01
  3.700000e+03,   5.314417e+00,   1.312247e+02,   8.397626e+00,   3.561460e-03,   3.996548e+00,   1.017493e+01
  3.750000e+03,   5.320429e+00,   1.323198e+02,   8.478661e+00,   3.575623e-03,   4.016692e+00,   1.020838e+01
  3.800000e+03,   5.326436e+00,   1.334144e+02,   8.559687e+00,   3.589593e-03,   4.036776e+00,   1.024162e+01
  3.850000e+03,   5.332440e+00,   1.345084e+02,   8.640708e+00,   3.603375e-03,   4.056799e+00,   1.027464e+01
  3.900000e+03,   5.338439e+00,   1.356020e+02,   8.721725e+00,   3.616974e-03,   4.076763e+00,   1.030745e+01
  3.950000e+03,   5.344434e+00,   1.366951e+02,   8.802739e+00,   3.630395e-03,   4.096670e+00,   1.034005e+01
  4.000000e+03,   5.350273e+00,   1.377810e+02,   8.883683e+00,   3.643664e-03,   4.116328e+00,   1.037242e+01
  4.050000e+03,   5.356071e+00,   1.388648e+02,   8.964612e+00,   3.656770e-03,   4.135884e+00,   1.040458e+01
  4.100000e+03,   5.361866e+00,   1.399482e+02,   9.045544e+00,   3.669711e-03,   4.155385e+00,   1.043654e+01
  4.150000e+03,   5.367657e+00,   1.410313e+02,   9.126481e+00,   3.682493e-03,   4.174834e+00,   1.046832e+01
  4.200000e+03,   5.373445e+00,   1.421141e+02,   9.207423e+00,   3.695118e-03,   4.194232e+00,   1.049991e+01
  4.250000e+03,   5.379213e+00,   1.431957e+02,   9.288365e+00,   3.707594e-03,   4.213555e+00,   1.053130e+01
  4.300000e+03,   5.384816e+00,   1.442697e+02,   9.369244e+00,   3.719943e-03,   4.232625e+00,   1.056249e+01
  4.350000e+03,   5.390418e+00,   1.453435e+02,   9.450134e+00,   3.732148e-03,   4.251647e+00,   1.059349e+01
  4.400000e+03,   5.396017e+00,   1.464171e+02,   9.531036e+00,   3.744212e-03,   4.270621e+00,   1.062433e+01
  4.450000e+03,   5.401614e+00,   1.474904e+02,   9.611952e+00,   3.756137e-03,   4.289549e+00,   1.065499e+01
  4.500000e+03,   5.407208e+00,   1.485636e+02,   9.692881e+00,   3.767928e-03,   4.308430e+00,   1.068548e+01
  4.550000e+03,   5.412766e+00,   1.496350e+02,   9.773811e+00,   3.779592e-03,   4.327222e+00,   1.071580e+01
  4.600000e+03,   5.418188e+00,   1.507000e+02,   9.854698e+00,   3.791146e-03,   4.345800e+00,   1.074593e+01
  4.650000e+03,   5.423609e+00,   1.517648e+02,   9.935603e+00,   3.802575e-03,   4.364335e+00,   1.077590e+01
  4.700000e+03,   5.429027e+00,   1.528295e+02,   1.001653e+01,   3.813880e-03,   4.382827e+00,   1.080572e+01
  4.750000e+03,   5.434445e+00,   1.538942e+02,   1.009747e+01,   3.825065e-03,   4.401278e+00,   1.083538e+01
