Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  5.000000e+02,   3.227000e+00,   1.000000e-04,   3.343550e-01,   1.184933e-03,   0.000000e+00,   6.348852e-04
  5.500000e+02,   3.528920e+00,   1.329691e+01,   5.106793e-01,   1.171508e-03,   5.937440e-01,   6.939837e+00
  6.000000e+02,   3.751715e+00,   2.264010e+01,   8.252579e-01,   1.195940e-03,   9.905706e-01,   7.082588e+00
  6.500000e+02,   3.900688e+00,   2.920405e+01,   1.116089e+00,   1.240257e-03,   1.250202e+00,   7.238733e+00
  7.000000e+02,   4.011518e+00,   3.434473e+01,   1.375360e+00,   1.291340e-03,   1.442703e+00,   7.377054e+00
  7.500000e+02,   4.100572e+00,   3.867206e+01,   1.611111e+00,   1.344210e-03,   1.597813e+00,   7.500175e+00
  8.000000e+02,   4.175432e+00,   4.246749e+01,   1.829281e+00,   1.396952e-03,   1.728943e+00,   7.611598e+00
  8.500000e+02,   4.240464e+00,   4.589289e+01,   2.034116e+00,   1.448656e-03,   1.843615e+00,   7.713924e+00
  9.000000e+02,   4.298229e+00,   4.904336e+01,   2.228435e+00,   1.498931e-03,   1.946196e+00,   7.808970e+00
  9.500000e+02,   4.350353e+00,   5.197922e+01,   2.414171e+00,   1.547625e-03,   2.039440e+00,   7.898035e+00
  1.000000e+03,   4.397829e+00,   5.473736e+01,   2.592526e+00,   1.594733e-03,   2.125052e+00,   7.982051e+00
  1.050000e+03,   4.441648e+00,   5.735470e+01,   2.764859e+00,   1.640215e-03,   2.204640e+00,   8.061791e+00
  1.100000e+03,   4.482489e+00,   5.985656e+01,   2.932131e+00,   1.684097e-03,   2.279307e+00,   8.137841e+00
  1.150000e+03,   4.926043e+00,   7.321353e+01,   4.247507e+00,   1.641048e-03,   2.797364e+00,   8.110410e+00
  1.200000e+03,   4.934076e+00,   7.447833e+01,   4.327515e+00,   1.688300e-03,   2.825782e+00,   8.167548e+00
  1.250000e+03,   4.942116e+00,   7.574508e+01,   4.407720e+00,   1.733698e-03,   2.854091e+00,   8.224076e+00
  1.300000e+03,   4.950136e+00,   7.701245e+01,   4.488100e+00,   1.777378e-03,   2.882252e+00,   8.279984e+00
  1.350000e+03,   4.957855e+00,   7.827109e+01,   4.568732e+00,   1.819524e-03,   2.909942e+00,   8.335228e+00
  1.400000e+03,   4.965575e+00,   7.953054e+01,   4.649484e+00,   1.860168e-03,   2.937509e+00,   8.389870e+00
  1.450000e+03,   4.973294e+00,   8.079049e+01,   4.730337e+00,   1.899406e-03,   2.964948e+00,   8.443913e+00
  1.500000e+03,   4.981011e+00,   8.205068e+01,   4.811275e+00,   1.937326e-03,   2.992256e+00,   8.497359e+00
  1.550000e+03,   4.988479e+00,   8.330270e+01,   4.892378e+00,   1.974066e-03,   3.019148e+00,   8.550178e+00
  1.600000e+03,   4.995882e+00,   8.455261e+01,   4.973563e+00,   2.009656e-03,   3.045840e+00,   8.602415e+00
  1.650000e+03,   5.003280e+00,   8.580226e+01,   5.054797e+00,   2.044148e-03,   3.072402e+00,   8.654088e+00
  1.700000e+03,   5.010672e+00,   8.705150e+01,   5.136068e+00,   2.077602e-03,   3.098831e+00,   8.705202e+00
  1.750000e+03,   5.017961e+00,   8.829686e+01,   5.217409e+00,   2.110100e-03,   3.125016e+00,   8.755753e+00
  1.800000e+03,   5.025057e+00,   8.953520e+01,   5.298849e+00,   2.141715e-03,   3.150855e+00,   8.805743e+00
  1.850000e+03,   5.032145e+00,   9.077286e+01,   5.380306e+00,   2.172451e-03,   3.176565e+00,   8.855209e+00
  1.900000e+03,   5.039225e+00,   9.200975e+01,   5.461773e+00,   2.202352e-03,   3.202148e+00,   8.904161e+00
  1.950000e+03,   5.046297e+00,   9.324579e+01,   5.543247e+00,   2.231459e-03,   3.227604e+00,   8.952607e+00
  2.000000e+03,   5.053182e+00,   9.447458e+01,   5.624797e+00,   2.259855e-03,   3.252725e+00,   9.000533e+00
  2.050000e+03,   5.059976e+00,   9.569950e+01,   5.706381e+00,   2.287552e-03,   3.277625e+00,   9.047966e+00
  2.100000e+03,   5.066761e+00,   9.692345e+01,   5.787960e+00,   2.314564e-03,   3.302404e+00,   9.094928e+00
  2.150000e+03,   5.073537e+00,   9.814640e+01,   5.869529e+00,   2.340921e-03,   3.327063e+00,   9.141425e+00
  2.200000e+03,   5.080304e+00,   9.936830e+01,   5.951087e+00,   2.366654e-03,   3.351604e+00,   9.187467e+00
  2.250000e+03,   5.086864e+00,   1.005819e+02,   6.032718e+00,   2.391836e-03,   3.375793e+00,   9.233038e+00
  2.300000e+03,   5.093372e+00,   1.017928e+02,   6.114353e+00,   2.416456e-03,   3.399814e+00,   9.278172e+00
  2.350000e+03,   5.099870e+00,   1.030026e+02,   6.195971e+00,   2.440528e-03,   3.423723e+00,   9.322881e+00
  2.400000e+03,   5.106359e+00,   1.042113e+02,   6.277569e+00,   2.464075e-03,   3.447521e+00,   9.367173e+00
  2.450000e+03,   5.112839e+00,   1.054189e+02,   6.359146e+00,   2.487118e-03,   3.471209e+00,   9.411055e+00
  2.500000e+03,   5.119145e+00,   1.066191e+02,   6.440777e+00,   2.509715e-03,   3.494592e+00,   9.454518e+00
  2.550000e+03,   5.125383e+00,   1.078160e+02,   6.522412e+00,   2.531861e-03,   3.517797e+00,   9.497585e+00
  2.600000e+03,   5.131613e+00,   1.090118e+02,   6.604025e+00,   2.553560e-03,   3.540898e+00,   9.540269e+00
  2.650000e+03,   5.137833e+00,   1.102064e+02,   6.685613e+00,   2.574828e-03,   3.563897e+00,   9.582579e+00
  2.700000e+03,   5.144045e+00,   1.114000e+02,   6.767176e+00,   2.595680e-03,   3.586795e+00,   9.624521e+00
  2.750000e+03,   5.150158e+00,   1.125889e+02,   6.848756e+00,   2.616155e-03,   3.609485e+00,   9.666091e+00
  2.800000e+03,   5.156144e+00,   1.137721e+02,   6.930366e+00,   2.636272e-03,   3.631934e+00,   9.707297e+00
  2.850000e+03,   5.162122e+00,   1.149542e+02,   7.011952e+00,   2.656017e-03,   3.654288e+00,   9.748159e+00
  2.900000e+03,   5.168092e+00,   1.161352e+02,   7.093512e+00,   2.675403e-03,   3.676548e+00,   9.788684e+00
  2.950000e+03,   5.174054e+00,   1.173151e+02,   7.175046e+00,   2.694443e-03,   3.698715e+00,   9.828876e+00
  3.000000e+03,   5.180007e+00,   1.184940e+02,   7.256555e+00,   2.713147e-03,   3.720791e+00,   9.868742e+00
  3.050000e+03,   5.185777e+00,   1.196648e+02,   7.338122e+00,   2.731568e-03,   3.742563e+00,   9.908271e+00
  3.100000e+03,   5.191522e+00,   1.208338e+02,   7.419674e+00,   2.749681e-03,   3.764225e+00,   9.947488e+00
  3.150000e+03,   5.197258e+00,   1.220017e+02,   7.501201e+00,   2.767489e-03,   3.785801e+00,   9.986399e+00
  3.200000e+03,   5.202987e+00,   1.231687e+02,   7.582705e+00,   2.785004e-03,   3.807292e+00,   1.002501e+01
  3.250000e+03,   5.208708e+00,   1.243346e+02,   7.664184e+00,   2.802235e-03,   3.828699e+00,   1.006333e+01
  3.300000e+03,   5.214396e+00,   1.254985e+02,   7.745652e+00,   2.819195e-03,   3.849992e+00,   1.010135e+01
  3.350000e+03,   5.219922e+00,   1.266550e+02,   7.827172e+00,   2.835924e-03,   3.871013e+00,   1.013908e+01
  3.400000e+03,   5.225441e+00,   1.278106e+02,   7.908670e+00,   2.852393e-03,   3.891956e+00,   1.017653e+01
  3.450000e+03,   5.230954e+00,   1.289653e+02,   7.990153e+00,   2.868611e-03,   3.912823e+00,   1.021371e+01
  3.500000e+03,   5.236460e+00,   1.301190e+02,   8.071610e+00,   2.884584e-03,   3.933612e+00,   1.025062e+01
  3.550000e+03,   5.241959e+00,   1.312718e+02,   8.153045e+00,   2.900320e-03,   3.954325e+00,   1.028726e+01
  3.600000e+03,   5.247425e+00,   1.324226e+02,   8.234474e+00,   2.915830e-03,   3.974931e+00,   1.032365e+01
  3.650000e+03,   5.252742e+00,   1.335664e+02,   8.315953e+00,   2.931150e-03,   3.995287e+00,   1.035977e+01
  3.700000e+03,   5.258053e+00,   1.347094e+02,   8.397414e+00,   2.946251e-03,   4.015572e+00,   1.039564e+01
  3.750000e+03,   5.263358e+00,   1.358515e+02,   8.478857e+00,   2.961140e-03,   4.035787e+00,   1.043127e+01
  3.800000e+03,   5.268656e+00,   1.369928e+02,   8.560282e+00,   2.975822e-03,   4.055932e+00,   1.046666e+01
  3.850000e+03,   5.273949e+00,   1.381333e+02,   8.641691e+00,   2.990303e-03,   4.076009e+00,   1.050181e+01
  3.900000e+03,   5.279236e+00,   1.392730e+02,   8.723084e+00,   3.004589e-03,   4.096019e+00,   1.053673e+01
  3.950000e+03,   5.284370e+00,   1.404055e+02,   8.804533e+00,   3.018717e-03,   4.115779e+00,   1.057141e+01
  4.000000e+03,   5.289488e+00,   1.415367e+02,   8.885974e+00,   3.032662e-03,   4.135460e+00,   1.060586e+01
  4.050000e+03,   5.294600e+00,   1.426672e+02,   8.967401e+00,   3.046426e-03,   4.155077e+00,   1.064010e+01
  4.100000e+03,   5.299707e+00,   1.437969e+02,   9.048814e+00,   3.060014e-03,   4.174631e+00,   1.067412e+01
  4.150000e+03,   5.304808e+00,   1.449259e+02,   9.130215e+00,   3.073429e-03,   4.194124e+00,   1.070793e+01
  4.200000e+03,   5.309904e+00,   1.460542e+02,   9.211603e+00,   3.086676e-03,   4.213555e+00,   1.074153e+01
  4.250000e+03,   5.314926e+00,   1.471786e+02,   9.293013e+00,   3.099775e-03,   4.232838e+00,   1.077491e+01
  4.300000e+03,   5.319864e+00,   1.482989e+02,   9.374452e+00,   3.112732e-03,   4.251963e+00,   1.080809e+01
  4.350000e+03,   5.336271e+00,   1.521148e+02,   9.650822e+00,   3.156435e-03,   4.316516e+00,   1.092041e+01
  4.400000e+03,   5.379936e+00,   1.625581e+02,   1.041378e+01,   3.276009e-03,   4.489849e+00,   1.121961e+01
  4.450000e+03,   5.423191e+00,   1.732445e+02,   1.120517e+01,   3.398716e-03,   4.662703e+00,   1.151390e+01
  4.500000e+03,   5.438537e+00,   1.770809e+02,   1.149199e+01,   3.442606e-03,   4.723809e+00,   1.161663e+01
  4.550000e+03,   5.442541e+00,   1.780524e+02,   1.156498e+01,   3.453473e-03,   4.739291e+00,   1.164220e+01
  4.600000e+03,   5.446494e+00,   1.790214e+02,   1.163802e+01,   3.464235e-03,   4.754680e+00,   1.166768e+01
  4.650000e+03,   5.450390e+00,   1.799875e+02,   1.171110e+01,   3.474895e-03,   4.769970e+00,   1.169304e+01
  4.700000e+03,   5.454286e+00,   1.809540e+02,   1.178422e+01,   3.485446e-03,   4.785238e+00,   1.171832e+01
