Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  2.980000e+02,   3.220000e+00,   1.000000e-04,   7.180948e-02,   3.162844e-04,   0.000000e+00,   6.413380e-03
  2.982600e+02,   3.224251e+00,   1.464221e-01,   7.189441e-02,   3.162855e-04,   7.739854e-03,   5.871126e+00
  2.985200e+02,   3.228645e+00,   2.982924e-01,   7.209750e-02,   3.162882e-04,   1.574710e-02,   5.880853e+00
  2.987800e+02,   3.233031e+00,   4.498487e-01,   7.230033e-02,   3.162909e-04,   2.372691e-02,   5.886713e+00
  2.990400e+02,   3.237408e+00,   6.010920e-01,   7.250290e-02,   3.162935e-04,   3.167946e-02,   5.891623e+00
  2.993000e+02,   3.241775e+00,   7.520235e-01,   7.270523e-02,   3.162962e-04,   3.960492e-02,   5.896152e+00
  2.995600e+02,   3.246135e+00,   9.028156e-01,   7.296666e-02,   3.163010e-04,   4.750868e-02,   5.900952e+00
  2.998200e+02,   3.250489e+00,   1.054061e+00,   7.349094e-02,   3.163152e-04,   5.540914e-02,   5.907276e+00
  3.000800e+02,   3.254835e+00,   1.205003e+00,   7.401432e-02,   3.163293e-04,   6.328323e-02,   5.912997e+00
  3.003400e+02,   3.259171e+00,   1.355644e+00,   7.453682e-02,   3.163434e-04,   7.113113e-02,   5.918315e+00
  3.006000e+02,   3.263500e+00,   1.505984e+00,   7.505843e-02,   3.163575e-04,   7.895298e-02,   5.923348e+00
  3.008600e+02,   3.267819e+00,   1.656025e+00,   7.557916e-02,   3.163715e-04,   8.674893e-02,   5.928170e+00
  3.011200e+02,   3.272064e+00,   1.804252e+00,   7.638807e-02,   3.164059e-04,   9.442016e-02,   5.934069e+00
  3.013800e+02,   3.276297e+00,   1.952133e+00,   7.720823e-02,   3.164411e-04,   1.020627e-01,   5.939698e+00
  3.016400e+02,   3.280523e+00,   2.099736e+00,   7.802700e-02,   3.164762e-04,   1.096810e-01,   5.945067e+00
  3.019000e+02,   3.284740e+00,   2.247061e+00,   7.884438e-02,   3.165113e-04,   1.172752e-01,   5.950224e+00
  3.021600e+02,   3.288950e+00,   2.394109e+00,   7.966038e-02,   3.165462e-04,   1.248455e-01,   5.955209e+00
  3.024200e+02,   3.293071e+00,   2.538597e+00,   8.063329e-02,   3.165985e-04,   1.322615e-01,   5.960566e+00
  3.026800e+02,   3.297130e+00,   2.681256e+00,   8.171385e-02,   3.166628e-04,   1.395652e-01,   5.966079e+00
  3.029400e+02,   3.301182e+00,   2.823668e+00,   8.279269e-02,   3.167268e-04,   1.468475e-01,   5.971398e+00
  3.032000e+02,   3.305227e+00,   2.965835e+00,   8.386980e-02,   3.167908e-04,   1.541082e-01,   5.976551e+00
  3.034600e+02,   3.309265e+00,   3.107757e+00,   8.494521e-02,   3.168545e-04,   1.613477e-01,   5.981559e+00
  3.037200e+02,   3.313296e+00,   3.249434e+00,   8.601891e-02,   3.169181e-04,   1.685659e-01,   5.986441e+00
  3.039800e+02,   3.317133e+00,   3.385215e+00,   8.731342e-02,   3.170169e-04,   1.754532e-01,   5.991786e+00
  3.042400e+02,   3.320963e+00,   3.520734e+00,   8.860814e-02,   3.171158e-04,   1.823190e-01,   5.996985e+00
  3.045000e+02,   3.324787e+00,   3.656044e+00,   8.990101e-02,   3.172144e-04,   1.891664e-01,   6.002050e+00
  3.047600e+02,   3.328605e+00,   3.791146e+00,   9.119202e-02,   3.173129e-04,   1.959955e-01,   6.006993e+00
  3.050200e+02,   3.332418e+00,   3.926040e+00,   9.248118e-02,   3.174110e-04,   2.028063e-01,   6.011826e+00
  3.052800e+02,   3.336211e+00,   4.060313e+00,   9.377899e-02,   3.175113e-04,   2.095766e-01,   6.016584e+00
  3.055400e+02,   3.339787e+00,   4.187765e+00,   9.524252e-02,   3.176484e-04,   2.159749e-01,   6.021613e+00
  3.058000e+02,   3.343358e+00,   4.315048e+00,   9.670423e-02,   3.177853e-04,   2.223578e-01,   6.026531e+00
  3.060600e+02,   3.346925e+00,   4.442161e+00,   9.816410e-02,   3.179218e-04,   2.287254e-01,   6.031346e+00
  3.063200e+02,   3.350486e+00,   4.569103e+00,   9.962214e-02,   3.180580e-04,   2.350778e-01,   6.036067e+00
  3.065800e+02,   3.354043e+00,   4.695877e+00,   1.010784e-01,   3.181940e-04,   2.414150e-01,   6.040702e+00
  3.068400e+02,   3.357596e+00,   4.822482e+00,   1.025328e-01,   3.183297e-04,   2.477371e-01,   6.045257e+00
  3.071000e+02,   3.360972e+00,   4.943455e+00,   1.040779e-01,   3.184936e-04,   2.537564e-01,   6.049910e+00
