Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  4.500000e+02,   3.220000e+00,   1.000000e-04,   2.238364e-01,   7.334472e-04,   0.000000e+00,   2.428856e-03
  5.000000e+02,   3.950929e+00,   3.562106e+01,   1.247409e+00,   6.672496e-04,   1.430582e+00,   7.732801e+00
  5.500000e+02,   4.046557e+00,   4.093280e+01,   1.522478e+00,   7.556409e-04,   1.611391e+00,   7.888850e+00
  6.000000e+02,   4.124113e+00,   4.550611e+01,   1.772935e+00,   8.426842e-04,   1.760162e+00,   8.028979e+00
  6.500000e+02,   4.190311e+00,   4.961790e+01,   2.007933e+00,   9.273663e-04,   1.888962e+00,   8.157524e+00
  7.000000e+02,   4.248701e+00,   5.341323e+01,   2.232258e+00,   1.009230e-03,   2.004069e+00,   8.277125e+00
  7.500000e+02,   4.301550e+00,   5.698466e+01,   2.449010e+00,   1.088056e-03,   2.109413e+00,   8.389572e+00
  8.000000e+02,   4.350086e+00,   6.038130e+01,   2.659780e+00,   1.163842e-03,   2.207139e+00,   8.496031e+00
  8.500000e+02,   4.394851e+00,   6.362283e+01,   2.865067e+00,   1.236732e-03,   2.298252e+00,   8.597236e+00
  9.000000e+02,   4.436518e+00,   6.673589e+01,   3.065735e+00,   1.306822e-03,   2.383908e+00,   8.693875e+00
  9.500000e+02,   4.475688e+00,   6.974493e+01,   3.262618e+00,   1.374209e-03,   2.465126e+00,   8.786524e+00
  1.000000e+03,   4.512635e+00,   7.266001e+01,   3.455996e+00,   1.439051e-03,   2.542391e+00,   8.875579e+00
  1.050000e+03,   4.547599e+00,   7.549021e+01,   3.646138e+00,   1.501496e-03,   2.616131e+00,   8.961377e+00
  1.100000e+03,   4.580795e+00,   7.824378e+01,   3.833298e+00,   1.561683e-03,   2.686721e+00,   9.044213e+00
  1.150000e+03,   4.612413e+00,   8.092812e+01,   4.017716e+00,   1.619744e-03,   2.754492e+00,   9.124343e+00
  1.200000e+03,   4.642622e+00,   8.354994e+01,   4.199615e+00,   1.675797e-03,   2.819733e+00,   9.201991e+00
  1.250000e+03,   4.671570e+00,   8.611524e+01,   4.379202e+00,   1.729956e-03,   2.882699e+00,   9.277357e+00
  1.300000e+03,   4.699390e+00,   8.862944e+01,   4.556670e+00,   1.782324e-03,   2.943618e+00,   9.350616e+00
  1.350000e+03,   4.726200e+00,   9.109744e+01,   4.732195e+00,   1.832997e-03,   3.002688e+00,   9.421925e+00
  1.400000e+03,   4.752104e+00,   9.352364e+01,   4.905942e+00,   1.882065e-03,   3.060087e+00,   9.491424e+00
  1.450000e+03,   4.776902e+00,   9.589770e+01,   5.077419e+00,   1.929686e-03,   3.115541e+00,   9.559132e+00
  1.500000e+03,   4.800930e+00,   9.823537e+01,   5.247304e+00,   1.975872e-03,   3.169563e+00,   9.625253e+00
  1.550000e+03,   4.824292e+00,   1.005414e+02,   5.415789e+00,   2.020688e-03,   3.222324e+00,   9.689901e+00
  1.600000e+03,   4.846925e+00,   1.028123e+02,   5.582706e+00,   2.064234e-03,   3.273747e+00,   9.753124e+00
  1.650000e+03,   4.868755e+00,   1.050440e+02,   5.747846e+00,   2.106606e-03,   3.323736e+00,   9.814957e+00
  1.700000e+03,   4.890103e+00,   1.072522e+02,   5.911910e+00,   2.147794e-03,   3.372776e+00,   9.875571e+00
  1.750000e+03,   4.910823e+00,   1.094292e+02,   6.074542e+00,   2.187902e-03,   3.420664e+00,   9.934969e+00
  1.800000e+03,   4.930917e+00,   1.115750e+02,   6.235723e+00,   2.226991e-03,   3.467416e+00,   9.993201e+00
  1.850000e+03,   4.950675e+00,   1.137038e+02,   6.396100e+00,   2.265046e-03,   3.513459e+00,   1.005041e+01
  1.900000e+03,   4.969700e+00,   1.157956e+02,   6.554744e+00,   2.302219e-03,   3.558236e+00,   1.010651e+01
  1.950000e+03,   4.988428e+00,   1.178721e+02,   6.712643e+00,   2.338452e-03,   3.602378e+00,   1.016168e+01
  2.000000e+03,   5.006636e+00,   1.199219e+02,   6.869273e+00,   2.373847e-03,   3.645576e+00,   1.021589e+01
  2.050000e+03,   5.024452e+00,   1.219513e+02,   7.024915e+00,   2.408414e-03,   3.688022e+00,   1.026921e+01
  2.100000e+03,   5.041891e+00,   1.239611e+02,   7.179598e+00,   2.442192e-03,   3.729744e+00,   1.032167e+01
  2.150000e+03,   5.058900e+00,   1.259483e+02,   7.333187e+00,   2.475232e-03,   3.770675e+00,   1.037330e+01
  2.200000e+03,   5.075615e+00,   1.279199e+02,   7.485996e+00,   2.507535e-03,   3.811014e+00,   1.042416e+01
  2.250000e+03,   5.091913e+00,   1.298693e+02,   7.637722e+00,   2.539166e-03,   3.850592e+00,   1.047425e+01
  2.300000e+03,   5.107947e+00,   1.318045e+02,   7.788729e+00,   2.570119e-03,   3.889634e+00,   1.052362e+01
  2.350000e+03,   5.123616e+00,   1.337201e+02,   7.938766e+00,   2.600448e-03,   3.928002e+00,   1.057228e+01
  2.400000e+03,   5.139008e+00,   1.356207e+02,   8.088042e+00,   2.630159e-03,   3.965826e+00,   1.062028e+01
  2.450000e+03,   5.154124e+00,   1.375061e+02,   8.236551e+00,   2.659280e-03,   4.003111e+00,   1.066764e+01
  2.500000e+03,   5.168912e+00,   1.393737e+02,   8.384167e+00,   2.687848e-03,   4.039790e+00,   1.071435e+01
  2.550000e+03,   5.183540e+00,   1.412322e+02,   8.531297e+00,   2.715844e-03,   4.076105e+00,   1.076049e+01
  2.600000e+03,   5.197757e+00,   1.430684e+02,   8.677320e+00,   2.743355e-03,   4.111708e+00,   1.080601e+01
  2.650000e+03,   5.211909e+00,   1.449004e+02,   8.823087e+00,   2.770314e-03,   4.147086e+00,   1.085101e+01
  2.700000e+03,   5.225637e+00,   1.467092e+02,   8.967703e+00,   2.796832e-03,   4.181742e+00,   1.089542e+01
  2.750000e+03,   5.239255e+00,   1.485115e+02,   9.111950e+00,   2.822849e-03,   4.216117e+00,   1.093934e+01
  2.800000e+03,   5.252634e+00,   1.503003e+02,   9.255506e+00,   2.848416e-03,   4.250039e+00,   1.098274e+01
  2.850000e+03,   5.265747e+00,   1.520742e+02,   9.398297e+00,   2.873556e-03,   4.283469e+00,   1.102564e+01
  2.900000e+03,   5.278801e+00,   1.538443e+02,   9.540847e+00,   2.898236e-03,   4.316702e+00,   1.106810e+01
  2.950000e+03,   5.291458e+00,   1.555923e+02,   9.682299e+00,   2.922553e-03,   4.349271e+00,   1.111004e+01
  3.000000e+03,   5.304038e+00,   1.573355e+02,   9.823463e+00,   2.946444e-03,   4.381621e+00,   1.115156e+01
  3.050000e+03,   5.316456e+00,   1.590692e+02,   9.964120e+00,   2.969945e-03,   4.413639e+00,   1.119266e+01
  3.100000e+03,   5.328588e+00,   1.607868e+02,   1.010395e+01,   2.993099e-03,   4.445155e+00,   1.123330e+01
  3.150000e+03,   5.340667e+00,   1.625008e+02,   1.024357e+01,   3.015861e-03,   4.476497e+00,   1.127356e+01
  3.200000e+03,   5.352507e+00,   1.642012e+02,   1.038247e+01,   3.038290e-03,   4.507406e+00,   1.131341e+01
  3.250000e+03,   5.364165e+00,   1.658909e+02,   1.052082e+01,   3.060384e-03,   4.537966e+00,   1.135286e+01
  3.300000e+03,   5.375774e+00,   1.675773e+02,   1.065895e+01,   3.082121e-03,   4.568364e+00,   1.139196e+01
  3.350000e+03,   5.387107e+00,   1.692480e+02,   1.079628e+01,   3.103568e-03,   4.598287e+00,   1.143066e+01
  3.400000e+03,   5.398319e+00,   1.709114e+02,   1.093321e+01,   3.124697e-03,   4.627952e+00,   1.146901e+01
  3.450000e+03,   5.409486e+00,   1.725717e+02,   1.106995e+01,   3.145500e-03,   4.657467e+00,   1.150704e+01
  3.500000e+03,   5.420377e+00,   1.742161e+02,   1.120587e+01,   3.166042e-03,   4.686514e+00,   1.154469e+01
  3.550000e+03,   5.431169e+00,   1.758545e+02,   1.134146e+01,   3.186290e-03,   4.715340e+00,   1.158202e+01
  3.600000e+03,   5.441918e+00,   1.774899e+02,   1.147685e+01,   3.206237e-03,   4.744022e+00,   1.161905e+01
  3.650000e+03,   5.452424e+00,   1.791111e+02,   1.161152e+01,   3.225942e-03,   4.772289e+00,   1.165574e+01
  3.700000e+03,   5.462820e+00,   1.807257e+02,   1.174582e+01,   3.245381e-03,   4.800325e+00,   1.169212e+01
  3.750000e+03,   5.473175e+00,   1.823375e+02,   1.187993e+01,   3.264543e-03,   4.828227e+00,   1.172822e+01
  3.800000e+03,   5.483347e+00,   1.839384e+02,   1.201348e+01,   3.283472e-03,   4.855800e+00,   1.176401e+01
  3.850000e+03,   5.493369e+00,   1.855304e+02,   1.214656e+01,   3.302166e-03,   4.883094e+00,   1.179951e+01
  3.900000e+03,   5.503353e+00,   1.871197e+02,   1.227946e+01,   3.320605e-03,   4.910261e+00,   1.183474e+01
  3.950000e+03,   5.513236e+00,   1.887028e+02,   1.241202e+01,   3.338810e-03,   4.937217e+00,   1.186971e+01
  4.000000e+03,   5.522905e+00,   1.902733e+02,   1.254394e+01,   3.356817e-03,   4.963810e+00,   1.190438e+01
  4.050000e+03,   5.532538e+00,   1.918413e+02,   1.267568e+01,   3.374587e-03,   4.990284e+00,   1.193880e+01
  4.100000e+03,   5.542135e+00,   1.934068e+02,   1.280727e+01,   3.392127e-03,   5.016641e+00,   1.197299e+01
  4.150000e+03,   5.551507e+00,   1.949590e+02,   1.293817e+01,   3.409488e-03,   5.042623e+00,   1.200689e+01
  4.200000e+03,   5.560808e+00,   1.965067e+02,   1.306882e+01,   3.426638e-03,   5.068443e+00,   1.204056e+01
  4.250000e+03,   5.570076e+00,   1.980520e+02,   1.319931e+01,   3.443574e-03,   5.094152e+00,   1.207400e+01
  4.300000e+03,   5.579249e+00,   1.995914e+02,   1.332947e+01,   3.460315e-03,   5.119669e+00,   1.210720e+01
  4.350000e+03,   5.588236e+00,   2.011198e+02,   1.345907e+01,   3.476890e-03,   5.144870e+00,   1.214016e+01
