Hugoniot 
Temperature Density   Pressure   IntEnergy  SpEntropy   Part. Vel.  Shock Vel. 
K ,          g/cm3   ,   GPa   ,     MJ/kg  , MJ/K/kg ,   km/s ,    km/s
  0.000000e+00,   3.500000e+00,   1.000000e-16,   1.000000e-02,   0.000000e+00,   0.000000e+00,   6.117889e+00
  0.000000e+00,   3.530097e+00,   1.207042e+00,   1.147015e-02,   0.000000e+00,   5.422449e-02,   6.360027e+00
  0.000000e+00,   3.563107e+00,   2.488253e+00,   1.629572e-02,   0.000000e+00,   1.122116e-01,   6.335617e+00
  0.000000e+00,   3.596117e+00,   3.801987e+00,   2.451707e-02,   0.000000e+00,   1.703941e-01,   6.375116e+00
  0.000000e+00,   3.629126e+00,   5.149106e+00,   3.617252e-02,   0.000000e+00,   2.287904e-01,   6.430224e+00
  0.000000e+00,   3.662136e+00,   6.530632e+00,   5.130495e-02,   0.000000e+00,   2.874194e-01,   6.491889e+00
  0.000000e+00,   3.695146e+00,   7.947495e+00,   6.995981e-02,   0.000000e+00,   3.462941e-01,   6.557180e+00
  0.000000e+00,   3.728155e+00,   9.400660e+00,   9.218572e-02,   0.000000e+00,   4.054275e-01,   6.624867e+00
  0.000000e+00,   3.761165e+00,   1.089126e+01,   1.180371e-01,   0.000000e+00,   4.648378e-01,   6.694356e+00
  0.000000e+00,   3.794175e+00,   1.242035e+01,   1.475701e-01,   0.000000e+00,   5.245382e-01,   6.765325e+00
  0.000000e+00,   3.827184e+00,   1.398900e+01,   1.808446e-01,   0.000000e+00,   5.845419e-01,   6.837588e+00
  0.000000e+00,   3.860194e+00,   1.559848e+01,   2.179274e-01,   0.000000e+00,   6.448680e-01,   6.911041e+00
  0.000000e+00,   3.893204e+00,   1.724997e+01,   2.588863e-01,   0.000000e+00,   7.055301e-01,   6.985617e+00
  0.000000e+00,   3.926214e+00,   1.894473e+01,   3.037949e-01,   0.000000e+00,   7.665440e-01,   7.061279e+00
  0.000000e+00,   3.959223e+00,   2.068404e+01,   3.527291e-01,   0.000000e+00,   8.279240e-01,   7.138004e+00
  0.000000e+00,   3.992233e+00,   2.246936e+01,   4.057743e-01,   0.000000e+00,   8.896901e-01,   7.215791e+00
  0.000000e+00,   4.025243e+00,   2.430209e+01,   4.630161e-01,   0.000000e+00,   9.518573e-01,   7.294637e+00
  0.000000e+00,   4.058252e+00,   2.618364e+01,   5.245449e-01,   0.000000e+00,   1.014441e+00,   7.374547e+00
  0.000000e+00,   4.091262e+00,   2.811569e+01,   5.904615e-01,   0.000000e+00,   1.077461e+00,   7.455539e+00
  0.000000e+00,   4.124272e+00,   3.009980e+01,   6.608669e-01,   0.000000e+00,   1.140935e+00,   7.537625e+00
  0.000000e+00,   4.157282e+00,   3.213766e+01,   7.358693e-01,   0.000000e+00,   1.204881e+00,   7.620824e+00
  0.000000e+00,   4.190291e+00,   3.423096e+01,   8.155806e-01,   0.000000e+00,   1.269315e+00,   7.705157e+00
  0.000000e+00,   4.223301e+00,   3.638166e+01,   9.001260e-01,   0.000000e+00,   1.334261e+00,   7.790650e+00
  0.000000e+00,   4.256311e+00,   3.859163e+01,   9.896301e-01,   0.000000e+00,   1.399736e+00,   7.877329e+00
  0.000000e+00,   4.289320e+00,   4.086279e+01,   1.084224e+00,   0.000000e+00,   1.465758e+00,   7.965218e+00
  0.000000e+00,   4.322330e+00,   4.319739e+01,   1.184053e+00,   0.000000e+00,   1.532353e+00,   8.054352e+00
  0.000000e+00,   4.355340e+00,   4.559754e+01,   1.289264e+00,   0.000000e+00,   1.599540e+00,   8.144761e+00
  0.000000e+00,   4.388350e+00,   4.806554e+01,   1.400012e+00,   0.000000e+00,   1.667341e+00,   8.236477e+00
  0.000000e+00,   4.421359e+00,   5.060371e+01,   1.516459e+00,   0.000000e+00,   1.735776e+00,   8.329532e+00
  0.000000e+00,   4.454369e+00,   5.321471e+01,   1.638785e+00,   0.000000e+00,   1.804874e+00,   8.423969e+00
  0.000000e+00,   4.487379e+00,   5.590111e+01,   1.767169e+00,   0.000000e+00,   1.874657e+00,   8.519824e+00
  0.000000e+00,   4.520388e+00,   5.866559e+01,   1.901799e+00,   0.000000e+00,   1.945147e+00,   8.617134e+00
  0.000000e+00,   4.553398e+00,   6.151119e+01,   2.042886e+00,   0.000000e+00,   2.016376e+00,   8.715948e+00
  0.000000e+00,   4.586408e+00,   6.444089e+01,   2.190639e+00,   0.000000e+00,   2.088367e+00,   8.816305e+00
  0.000000e+00,   4.619417e+00,   6.745778e+01,   2.345279e+00,   0.000000e+00,   2.161147e+00,   8.918250e+00
  0.000000e+00,   4.652427e+00,   7.056539e+01,   2.507052e+00,   0.000000e+00,   2.234749e+00,   9.021836e+00
  0.000000e+00,   4.685437e+00,   7.376718e+01,   2.676205e+00,   0.000000e+00,   2.309201e+00,   9.127112e+00
  0.000000e+00,   4.718447e+00,   7.706683e+01,   2.853001e+00,   0.000000e+00,   2.384534e+00,   9.234129e+00
  0.000000e+00,   4.751456e+00,   8.046818e+01,   3.037715e+00,   0.000000e+00,   2.460778e+00,   9.342941e+00
  0.000000e+00,   4.784466e+00,   8.397552e+01,   3.230652e+00,   0.000000e+00,   2.537972e+00,   9.453612e+00
  0.000000e+00,   4.817476e+00,   8.759309e+01,   3.432118e+00,   0.000000e+00,   2.616149e+00,   9.566197e+00
  0.000000e+00,   4.850485e+00,   9.132537e+01,   3.642436e+00,   0.000000e+00,   2.695343e+00,   9.680759e+00
  0.000000e+00,   4.883495e+00,   9.517737e+01,   3.861967e+00,   0.000000e+00,   2.775596e+00,   9.797368e+00
  0.000000e+00,   4.916505e+00,   9.915413e+01,   4.091073e+00,   0.000000e+00,   2.856947e+00,   9.916093e+00
  0.000000e+00,   4.949515e+00,   1.032610e+02,   4.330145e+00,   0.000000e+00,   2.939437e+00,   1.003700e+01
  0.000000e+00,   4.982524e+00,   1.075036e+02,   4.579590e+00,   0.000000e+00,   3.023108e+00,   1.016018e+01
  0.000000e+00,   5.015534e+00,   1.118881e+02,   4.839859e+00,   0.000000e+00,   3.108009e+00,   1.028570e+01
  0.000000e+00,   5.048544e+00,   1.164210e+02,   5.111413e+00,   0.000000e+00,   3.194186e+00,   1.041365e+01
  0.000000e+00,   5.081553e+00,   1.211086e+02,   5.394736e+00,   0.000000e+00,   3.281687e+00,   1.054411e+01
  0.000000e+00,   5.114563e+00,   1.259587e+02,   5.690369e+00,   0.000000e+00,   3.370569e+00,   1.067719e+01
  0.000000e+00,   5.147573e+00,   1.309786e+02,   5.998864e+00,   0.000000e+00,   3.460885e+00,   1.081297e+01
  0.000000e+00,   5.180583e+00,   1.361765e+02,   6.320815e+00,   0.000000e+00,   3.552693e+00,   1.095157e+01
  0.000000e+00,   5.213592e+00,   1.415608e+02,   6.656840e+00,   0.000000e+00,   3.646050e+00,   1.109308e+01
  0.000000e+00,   5.246602e+00,   1.471410e+02,   7.007638e+00,   0.000000e+00,   3.741026e+00,   1.123763e+01
  0.000000e+00,   5.279612e+00,   1.529268e+02,   7.373919e+00,   0.000000e+00,   3.837686e+00,   1.138534e+01
  0.000000e+00,   5.312621e+00,   1.589286e+02,   7.756438e+00,   0.000000e+00,   3.936099e+00,   1.153633e+01
  0.000000e+00,   5.345631e+00,   1.651575e+02,   8.156035e+00,   0.000000e+00,   4.036344e+00,   1.169075e+01
  0.000000e+00,   5.378641e+00,   1.716256e+02,   8.573578e+00,   0.000000e+00,   4.138497e+00,   1.184872e+01
  0.000000e+00,   5.411650e+00,   1.783453e+02,   9.009997e+00,   0.000000e+00,   4.242640e+00,   1.201040e+01
  0.000000e+00,   5.444660e+00,   1.853308e+02,   9.466325e+00,   0.000000e+00,   4.348868e+00,   1.217596e+01
  0.000000e+00,   5.477670e+00,   1.925963e+02,   9.943630e+00,   0.000000e+00,   4.457270e+00,   1.234557e+01
  0.000000e+00,   5.510680e+00,   2.001578e+02,   1.044307e+01,   0.000000e+00,   4.567948e+00,   1.251940e+01
  0.000000e+00,   5.543689e+00,   2.080318e+02,   1.096589e+01,   0.000000e+00,   4.681001e+00,   1.269763e+01
  0.000000e+00,   5.576699e+00,   2.162367e+02,   1.151344e+01,   0.000000e+00,   4.796548e+00,   1.288049e+01
  0.000000e+00,   5.609709e+00,   2.247920e+02,   1.208717e+01,   0.000000e+00,   4.914706e+00,   1.306819e+01
  0.000000e+00,   5.642718e+00,   2.337186e+02,   1.268862e+01,   0.000000e+00,   5.035597e+00,   1.326094e+01
