HUGONIOT											
											
RHO	T	P	PC	E	S	V	U	RHO/RHOO	#IT	STATE	
kg/m**3	K	GPa	GPa	J/kg	J/kg-K	km/sec	km/sec				
											
2.62E+03	5.00E+02	3.31E-03	-6.79E-01	3.47E+05	1.23E+03	3.61E+00	0.00E+00	1.00E+00	0	INITIAL	1
2.77E+03	5.22E+02	2.19E+00	1.48E+00	3.69E+05	1.24E+03	3.92E+00	2.13E-01	1.06E+00	3	1	PHASE
3.03E+03	5.80E+02	7.27E+00	6.44E+00	5.34E+05	1.28E+03	4.53E+00	6.12E-01	1.16E+00	5	1	PHASE
3.17E+03	6.38E+02	1.10E+01	1.00E+01	7.12E+05	1.35E+03	4.91E+00	8.55E-01	1.21E+00	4	1	PHASE
3.27E+03	6.96E+02	1.40E+01	1.30E+01	8.81E+05	1.43E+03	5.18E+00	1.03E+00	1.25E+00	4	1	PHASE
3.42E+03	8.12E+02	1.92E+01	1.78E+01	1.20E+06	1.57E+03	5.60E+00	1.31E+00	1.30E+00	4	1	PHASE
4.44E+03	1.16E+03	3.38E+01	3.13E+01	2.99E+06	1.80E+03	5.61E+00	2.30E+00	1.70E+00	5	1	PHASE
4.48E+03	1.39E+03	3.75E+01	3.44E+01	3.32E+06	2.00E+03	5.87E+00	2.44E+00	1.71E+00	3	1	PHASE
4.51E+03	1.62E+03	4.11E+01	3.74E+01	3.64E+06	2.17E+03	6.12E+00	2.57E+00	1.72E+00	3	1	PHASE
4.55E+03	1.86E+03	4.48E+01	4.03E+01	3.97E+06	2.32E+03	6.35E+00	2.69E+00	1.74E+00	3	1	PHASE
4.58E+03	2.09E+03	4.84E+01	4.33E+01	4.30E+06	2.45E+03	6.57E+00	2.81E+00	1.75E+00	3	1	PHASE
4.61E+03	2.32E+03	5.20E+01	4.61E+01	4.63E+06	2.57E+03	6.77E+00	2.93E+00	1.76E+00	3	1	PHASE
4.69E+03	2.90E+03	6.08E+01	5.32E+01	5.46E+06	2.81E+03	7.25E+00	3.20E+00	1.79E+00	3	1	PHASE
4.75E+03	3.48E+03	6.94E+01	6.01E+01	6.29E+06	3.01E+03	7.68E+00	3.45E+00	1.81E+00	3	1	PHASE
