T (K)	Pressure (Gpa)	S_liq (J/kg/K)	Svap (J/kg/K)	rho_liq (g/cm3)	rho_vap (g/cm3)
5130	1.32E-01	5.15E+03	5.15E+03	5.08E-01	5.08E-01
5126	1.31E-01	5.07E+03	5.22E+03	5.66E-01	4.50E-01
5120	1.29E-01	5.03E+03	5.27E+03	6.02E-01	4.18E-01
5114	1.27E-01	5.00E+03	5.30E+03	6.26E-01	3.97E-01
5108	1.25E-01	4.98E+03	5.33E+03	6.45E-01	3.79E-01
5102	1.23E-01	4.96E+03	5.35E+03	6.65E-01	3.64E-01
5100	1.23E-01	4.95E+03	5.36E+03	6.70E-01	3.60E-01
5090	1.20E-01	4.92E+03	5.39E+03	6.97E-01	3.39E-01
5080	1.17E-01	4.89E+03	5.42E+03	7.21E-01	3.21E-01
5070	1.14E-01	4.87E+03	5.44E+03	7.41E-01	3.05E-01
5060	1.11E-01	4.85E+03	5.47E+03	7.63E-01	2.91E-01
5050	1.08E-01	4.83E+03	5.49E+03	7.80E-01	2.78E-01
5040	1.05E-01	4.81E+03	5.51E+03	7.99E-01	2.66E-01
5020	1.00E-01	4.77E+03	5.55E+03	8.32E-01	2.45E-01
5000	9.49E-02	4.74E+03	5.59E+03	8.61E-01	2.26E-01
4980	8.99E-02	4.71E+03	5.62E+03	8.89E-01	2.09E-01
4960	8.52E-02	4.68E+03	5.65E+03	9.17E-01	1.93E-01
4940	8.07E-02	4.66E+03	5.68E+03	9.41E-01	1.80E-01
4920	7.64E-02	4.62E+03	5.70E+03	9.65E-01	1.67E-01
4800	5.42E-02	4.50E+03	5.86E+03	1.09E+00	1.09E-01
4600	2.94E-02	4.34E+03	6.08E+03	1.26E+00	5.32E-02
4400	1.52E-02	4.20E+03	6.27E+03	1.40E+00	2.55E-02
4200	7.60E-03	4.08E+03	6.44E+03	1.52E+00	1.20E-02
4000	3.64E-03	3.97E+03	6.60E+03	1.62E+00	5.51E-03
3800	1.66E-03	3.86E+03	6.75E+03	1.71E+00	2.47E-03
3600	7.10E-04	3.76E+03	6.90E+03	1.80E+00	1.06E-03
3400	2.80E-04	3.66E+03	7.06E+03	1.87E+00	4.26E-04
3200	9.97E-05	3.56E+03	7.23E+03	1.94E+00	1.57E-04
3000	3.12E-05	3.46E+03	7.43E+03	2.01E+00	5.14E-05
2800	8.29E-06	3.35E+03	7.65E+03	2.07E+00	1.44E-05
2600	1.79E-06	3.25E+03	7.90E+03	2.13E+00	3.33E-06
2400	2.98E-07	3.14E+03	8.21E+03	2.19E+00	5.99E-07
2200	3.51E-08	3.02E+03	8.59E+03	2.24E+00	7.70E-08
2000	2.68E-09	2.95E+03	9.25E+03	2.29E+00	6.46E-09
