ANEOS	UNITE																										
	TWO-PHASE	BOUN	ARIES																								
	T	RHOLIQ	RHOVAP	PLIQ	PVAP	ELIQ	EVAP	SLIQ	SVAP	GLIQ	GVAP	PSILIQ	PSIVAP	NTY										lvdT			
	K	kg/m**3	kg/m**3	GPa	GPa	J/kg	J/kg	J/kg-K	J/kg-K	J/kg	J/kg																
																											
	8.80698	3	1.68059	3	1.68057	3	2.54743	0	2.54743	0	1.30859	7	1.30859	7	5.40213	3	5.40215	3	-3.2972	7	-3.2972	7	8.2617	-1	8.2617	-1	0
	8.69638	3	1.81355	3	1.34931	3	2.38528	0	2.37856	0	1.25108	7	1.41416	7	5.3244	3	5.56383	3	-3.24742	7	-3.24779	7	4.84294	-1	8.14707	-1	60
	8.58578	3	1.96991	3	1.26176	3	2.23303	0	2.23303	0	1.18848	7	1.43419	7	5.24054	3	5.60084	3	-3.19731	7	-3.19731	7	4.16611	-1	9.11047	-1	13
	8.47518	3	2.05747	3	1.18304	3	2.09193	0	2.09193	0	1.14902	7	1.45156	7	5.18902	3	5.63468	3	-3.14683	7	-3.14683	7	3.83692	-1	1.01401	0	12
	8.36458	3	2.12213	3	1.11047	3	1.95506	0	1.95506	0	1.11715	7	1.46714	7	5.14779	3	5.66658	3	-3.09639	7	-3.09639	7	3.61088	-1	1.12634	0	12
	8.25398	3	2.17588	3	1.04257	3	1.82249	0	1.82249	0	1.08892	7	1.48143	7	5.11134	3	5.69722	3	-3.04597	7	-3.04597	7	3.43262	-1	1.25048	0	11
	8.14339	3	2.22286	3	9.7838	2	1.69431	0	1.69431	0	1.06299	7	1.49473	7	5.07779	3	5.72706	3	-2.99559	7	-2.99559	7	3.28326	-1	1.38914	0	11
	8.03279	3	2.26509	3	9.17242	2	1.57065	0	1.57065	0	1.03868	7	1.5073	7	5.04618	3	5.75645	3	-2.94524	7	-2.94524	7	3.15362	-1	1.5455	0	10
	7.92219	3	2.30375	3	8.58683	2	1.4516	0	1.4516	0	1.0156	7	1.51928	7	5.01598	3	5.78566	3	-2.89492	7	-2.89492	7	3.03842	-1	1.72334	0	10
	7.81159	3	2.3396	3	8.02372	2	1.33727	0	1.33727	0	9.93495	6	1.53081	7	4.98684	3	5.81491	3	-2.84463	7	-2.84463	7	2.93431	-1	1.92728	0	10
	7.70099	3	2.37317	3	7.48076	2	1.22776	0	1.22776	0	9.722	6	1.54198	7	4.9585	3	5.84437	3	-2.79438	7	-2.79438	7	2.83901	-1	2.163	0	10
	7.59039	3	2.40484	3	6.95639	2	1.12315	0	1.12315	0	9.51586	6	1.55286	7	4.9308	3	5.87418	3	-2.74416	7	-2.74416	7	2.75089	-1	2.43761	0	9
	7.47979	3	2.43488	3	6.44962	2	1.02353	0	1.02353	0	9.31558	6	1.5635	7	4.90359	3	5.90447	3	-2.69398	7	-2.69398	7	2.66874	-1	2.76001	0	9
	7.36919	3	2.46353	3	5.95991	2	9.28969	-1	9.28969	-1	9.12044	6	1.57393	7	4.87678	3	5.93536	3	-2.64383	7	-2.64383	7	2.59163	-1	3.14153	0	9
	7.2586	3	2.49095	3	5.48707	2	8.39529	-1	8.39529	-1	8.92986	6	1.58417	7	4.85027	3	5.96692	3	-2.59372	7	-2.59372	7	2.51884	-1	3.59669	0	9
	7.148	3	2.51728	3	5.03124	2	7.55254	-1	7.55254	-1	8.74338	6	1.59425	7	4.824	3	5.99925	3	-2.54365	7	-2.54365	7	2.44981	-1	4.14424	0	9
	7.0374	3	2.54263	3	4.59278	2	6.76174	-1	6.76174	-1	8.56064	6	1.60416	7	4.79791	3	6.03242	3	-2.49363	7	-2.49363	7	2.38405	-1	4.80865	0	8
	6.9268	3	2.5671	3	4.17226	2	6.023	-1	6.023	-1	8.38132	6	1.61388	7	4.77196	3	6.0665	3	-2.44366	7	-2.44366	7	2.32119	-1	5.62209	0	8
	6.8162	3	2.59076	3	3.77036	2	5.33618	-1	5.33618	-1	8.20515	6	1.62342	7	4.7461	3	6.10153	3	-2.39373	7	-2.39373	7	2.2609	-1	6.62733	0	8
	6.7056	3	2.61368	3	3.3879	2	4.70093	-1	4.70093	-1	8.03193	6	1.63274	7	4.72028	3	6.13757	3	-2.34387	7	-2.34387	7	2.20293	-1	7.88172	0	8
	6.595	3	2.63589	3	3.02571	2	4.11664	-1	4.11664	-1	7.86146	6	1.64183	7	4.69449	3	6.17467	3	-2.29408	7	-2.29408	7	2.14703	-1	9.46294	0	8
	6.48441	3	2.65746	3	2.68462	2	3.58239	-1	3.58239	-1	7.69359	6	1.65064	7	4.6687	3	6.21287	3	-2.24436	7	-2.24436	7	2.09302	-1	1.14773	1	8
	6.37381	3	2.67842	3	2.36544	2	3.097	-1	3.097	-1	7.52818	6	1.65915	7	4.64286	3	6.25219	3	-2.19472	7	-2.19472	7	2.04073	-1	1.40718	1	8
	6.26321	3	2.69879	3	2.06883	2	2.65897	-1	2.65897	-1	7.36509	6	1.66731	7	4.61696	3	6.29268	3	-2.14517	7	-2.14517	7	1.99	-1	1.74517	1	8
	6.15261	3	2.7186	3	1.79531	2	2.26651	-1	2.26651	-1	7.20424	6	1.67508	7	4.59099	3	6.33436	3	-2.09573	7	-2.09573	7	1.94072	-1	2.19073	1	7
	6.04201	3	2.73788	3	1.5452	2	1.91753	-1	1.91753	-1	7.04551	6	1.68242	7	4.5649	3	6.37725	3	-2.0464		7	-2.0464		7	1.89276	-1	2.78529	1	7
	5.93141	3	2.75665	3	1.31853	2	1.60968	-1	1.60968	-1	6.88881	6	1.68928	7	4.53868	3	6.42138	3	-1.9972		7	-1.9972		7	1.84603	-1	3.58869	1	7
	5.82081	3	2.77491	3	1.1151	2	1.34037	-1	1.34037	-1	6.73408	6	1.69563	7	4.51232	3	6.46678	3	-1.94815	7	-1.94815	7	1.80043	-1	4.68837	1	7
	5.71021	3	2.79269	3	9.34383	1	1.10681	-1	1.10681	-1	6.58122	6	1.70142	7	4.48578	3	6.51347	3	-1.89924	7	-1.89924	7	1.75588	-1	6.21355	1	7
	5.59962	3	2.81	3	7.75542	1	9.06078	-2	9.06078	-2	6.43016	6	1.70661	7	4.45905	3	6.56146	3	-1.85051	7	-1.85051	7	1.7123	-1	8.35751	1	7
	5.48902	3	2.82685	3	6.37471	1	7.35146	-2	7.35146	-2	6.28083	6	1.71118	7	4.4321	3	6.61079	3	-1.80197	7	-1.80197	7	1.66964	-1	1.1413	2	6
	5.37842	3	2.84325	3	5.18807	1	5.90972	-2	5.90972	-2	6.13316	6	1.71509	7	4.40492	3	6.66149	3	-1.75362	7	-1.75362	7	1.62781	-1	1.58291	2	6
	5.26782	3	2.85922	3	4.17987	1	4.70546	-2	4.70546	-2	5.98709	6	1.71834	7	4.37747	3	6.71361	3	-1.70549	7	-1.70549	7	1.58677	-1	2.23044	2	6
	5.15722	3	2.87477	3	3.33313	1	3.70956	-2	3.70956	-2	5.84255	6	1.72092	7	4.34974	3	6.7672	3	-1.65758	7	-1.65758	7	1.54645	-1	3.19411	2	6
	5.04662	3	2.88991	3	2.63016	1	2.89432	-2	2.89432	-2	5.69946	6	1.72281	7	4.32169	3	6.82233	3	-1.60992	7	-1.60992	7	1.50681	-1	4.65054	2	6
	4.93602	3	2.90466	3	2.05324	1	2.23392	-2	2.23392	-2	5.55776	6	1.72403	7	4.2933	3	6.87911	3	-1.56252	7	-1.56252	7	1.4678	-1	6.88746	2	5
	4.82543	3	2.91903	3	1.58518	1	1.70468	-2	1.70468	-2	5.41739	6	1.72461	7	4.26454	3	6.93767	3	-1.51538	7	-1.51538	7	1.42938	-1	1.03819	3	5
	4.71483	3	2.93302	3	1.20979	1	1.28526	-2	1.28526	-2	5.27828	6	1.72455	7	4.23538	3	6.99815	3	-1.46853	7	-1.46853	7	1.3915	-1	1.59399	3	5
	4.60423	3	2.94667	3	9.12204	0	9.56991	-3	9.56734	-3	5.14037	6	1.7239	7	4.20578	3	7.06076	3	-1.42196	7	-1.42196	7	1.35411	-1	2.49518	3	4
	4.49363	3	2.95998	3	6.7909	0	7.02691	-3	7.02532	-3	5.00358	6	1.72269	7	4.17571	3	7.12573	3	-1.37571	7	-1.37571	7	1.3172	-1	3.98682	3	4
	4.38303	3	2.97296	3	4.98712	0	5.08476	-3	5.08379	-3	4.86787	6	1.72098	7	4.14513	3	7.19333	3	-1.32976	7	-1.32976	7	1.28072	-1	6.5114	3	4
	4.27243	3	2.98563	3	3.60931	0	3.62189	-3	3.62131	-3	4.73316	6	1.7188	7	4.11401	3	7.2639	3	-1.28414	7	-1.28414	7	1.24464	-1	1.08886	4	4
	4.16183	3	2.99801	3	2.57119	0	2.53631	-3	2.53597	-3	4.59939	6	1.71621	7	4.08228	3	7.33782	3	-1.23886	7	-1.23886	7	1.20894	-1	1.86798	4	4
	4.05124	3	3.01011	3	1.80046	0	1.74358	-3	1.74337	-3	4.46651	6	1.71328	7	4.04993	3	7.41552	3	-1.19392	7	-1.19392	7	1.17359	-1	3.29505	4	4
	3.94064	3	3.02194	3	1.23731	0	1.1746	-3	1.1746	-3	4.33446	6	1.71006	7	4.01688	3	7.4975	3	-1.14933	7	-1.14933	7	1.13856	-1	5.99214	4	5
	3.83004	3	3.03351	3	8.5894	-1	7.86256	-4	7.86256	-4	4.20318	6	1.70374	7	3.98308	3	7.57315	3	-1.1051		7	-1.1051		7	1.10383	-1	1.07269	5	6
	3.71944	3	3.04484	3	5.60172	-1	5.03605	-4	5.03605	-4	4.07261	6	1.70101	7	3.94849	3	7.6687	3	-1.06125	7	-1.06125	7	1.06939	-1	2.12349	5	6
	3.60884	3	3.05594	3	3.57156	-1	3.14519	-4	3.14519	-4	3.94271	6	1.69797	7	3.91303	3	7.76975	3	-1.01779	7	-1.01779	7	1.0352	-1	4.3614	5	5
	3.49824	3	3.06682	3	2.219	-1	1.90967	-4	1.90967	-4	3.81341	6	1.69475	7	3.87664	3	7.87735	3	-9.74718	6	-9.74718	6	1.00126	-1	9.34342	5	5
	3.38764	3	3.07749	3	1.33876	-1	1.12363	-4	1.12363	-4	3.68466	6	1.69149	7	3.83925	3	7.99267	3	-9.32054	6	-9.32054	6	9.67551	-2	2.09975	6	6
	3.35947	3	3.08016	3	1.19674	-1	1	-4	1	-4	3.65199	6	1.69068	7	3.82944	3	8.02434	3	-9.21291	6	-9.21291	6	9.59017	-2	2.83378	6	0
	3.27704	3	3.08796	3	7.81336	-2	6.38375	-5	6.38375	-5	3.55643	6	1.6883	7	3.80076	3	8.11697	3	-8.89809	6	-8.89809	6	9.34052	-2	4.98089	6	7
	3.22175	3	3.09313	3	5.88764	-2	4.74309	-5	4.74309	-5	3.49248	6	1.68677	7	3.78108	3	8.18293	3	-8.68847	6	-8.68847	6	9.17377	-2	7.84511	6	7
	3.16645	3	3.09825	3	4.39282	-2	3.48796	-5	3.48796	-5	3.42865	6	1.68531	7	3.76109	3	8.2517	3	-8.47994	6	-8.47994	6	9.0075	-2	1.25575	7	8
	3.11115	3	3.10332	3	3.24326	-2	2.5372	-5	2.5372	-5	3.36492	6	1.68393	7	3.74079	3	8.32349	3	-8.27253	6	-8.27253	6	8.84168	-2	2.04478	7	5
	3.05585	3	3.10835	3	2.36798	-2	1.82447	-5	1.82447	-5	3.30129	6	1.68264	7	3.72015	3	8.39851	3	-8.06625	6	-8.06625	6	8.6763	-2	3.39066	7	7
	3.00055	3	3.11334	3	1.70859	-2	1.29607	-5	1.29607	-5	3.23776	6	1.68146	7	3.69917	3	8.47704	3	-7.86112	6	-7.86112	6	8.51135	-2	5.73187	7	7
	2.94525	3	3.11828	3	1.21744	-2	9.08918	-6	9.08917	-6	3.17431	6	1.68041	7	3.67782	3	8.55932	3	-7.65716	6	-7.65716	6	8.34679	-2	9.89008	7	7
	2.88995	3	3.12318	3	8.55984	-3	6.28766	-6	6.28765	-6	3.11094	6	1.67951	7	3.6561	3	8.64565	3	-7.45439	6	-7.45439	6	8.18262	-2	1.74399	8	7
	2.83465	3	3.12805	3	5.93382	-3	4.28713	-6	4.28713	-6	3.04765	6	1.67877	7	3.63399	3	8.73634	3	-7.25283	6	-7.25284	6	8.01882	-2	3.14715	8	7
	2.77935	3	3.13287	3	4.05197	-3	2.87855	-6	2.87855	-6	2.98444	6	1.67822	7	3.61147	3	8.83174	3	-7.05251	6	-7.05251	6	7.85537	-2	5.82042	8	6
	2.72405	3	3.13766	3	2.72298	-3	1.90151	-6	1.90151	-6	2.92129	6	1.67787	7	3.58852	3	8.93223	3	-6.85344	6	-6.85344	6	7.69225	-2	1.10493	9	8
	2.66875	3	3.14241	3	1.79895	-3	1.23451	-6	1.23451	-6	2.85821	6	1.67775	7	3.56512	3	9.03822	3	-6.65566	6	-6.65566	6	7.52945	-2	2.1567	9	8
	2.61345	3	3.14712	3	1.1671	-3	7.86825	-7	7.86825	-7	2.79519	6	1.67788	7	3.54126	3	9.15015	3	-6.45918	6	-6.45918	6	7.36695	-2	4.33624	9	6
	2.55815	3	3.1518	3	7.41979	-4	4.91496	-7	4.91496	-7	2.73222	6	1.67841	7	3.5169	3	9.26917	3	-6.26403	6	-6.26403	6	7.20473	-2	1.00000+100	10	
	2.50285	3	3.15644	3	4.62582	-4	3.00834	-7	3.00834	-7	2.66931	6	1.67909	7	3.49204	3	9.39441	3	-6.07025	6	-6.07025	6	7.04276	-2	1.00000+100	10	
	2.44755	3	3.16105	3	2.82072	-4	1.80053	-7	1.80053	-7	2.60645	6	1.68011	7	3.46664	3	9.5273	3	-5.87785	6	-5.87785	6	6.88105	-2	1.00000+100	9	
	2.39226	3	3.16563	3	1.67971	-4	1.05214	-7	1.05214	-7	2.54363	6	1.6815	7	3.44068	3	9.66854	3	-5.68687	6	-5.68687	6	6.71956	-2	1.00000+100	11	
	2.33696	3	3.17017	3	9.75169	-5	5.99257	-8	5.99257	-8	2.48085	6	1.68331	7	3.41413	3	9.81887	3	-5.49735	6	-5.49735	6	6.55827	-2	1.00000+100	10	
